show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,Platform
s4297,TV Show,Flowers,,"Olivia Colman, Julian Barratt, Daniel Rigby, Sophia Di Martino, Leila Hoffman, Will Sharpe, Harriet Walter",United Kingdom,"December 15, 2018",2018,TV-MA,2 Seasons,"British TV Shows, International TV Shows, TV Comedies","Between a troubled marriage, a senile granny and twin siblings constantly in rivalry, a crumbling household struggles to barely keep it together.",Netflix
s4305,TV Show,Hymn of Death,,"Lee Jong-suk, Shin Hye-sun, Kim Myeong-su, Park Seon-im, Kim Won-hae, Hwang Yeong-hee, Lee Ji-hoon, Go Bo-gyeol, Shin Jae-ha",South Korea,"December 14, 2018",2018,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows","During the Japanese colonial period, married playwright Kim U-jin falls in love with soprano Yun Sim-deok, one of Korea’s notable New Women.",Netflix
s4306,TV Show,Inside the Real Narcos,,Jason Fox,,"December 14, 2018",2018,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries","Exposing a rarely seen perspective on the drug wars, ex-Special Forces commando Jason Fox interviews dangerous traffickers and cartel members.",Netflix
s4308,TV Show,The Fix,,"Jimmy Carr, D.L. Hughley, Katherine Ryan",United States,"December 14, 2018",2018,TV-MA,1 Season,TV Comedies,"Comedians Jimmy Carr, D.L. Hughley and Katherine Ryan tackle the world's woes with help from a rotating crew of funny guests and an actual expert.",Netflix
s4309,TV Show,The Innocent Man,,John Grisham,United States,"December 14, 2018",2018,TV-MA,1 Season,"Crime TV Shows, Docuseries","This documentary adaptation of John Grisham's only nonfiction book raises troubling questions about two murder cases in Ada, Oklahoma, in the 1980s.",Netflix
s4310,TV Show,Tidelands,,"Charlotte Best, Elsa Pataky, Marco Pigossi, Aaron Jakubenko, Mattias Inwood, Dalip Sondhi, Alex Dimitriades, Richard Davies, Caroline Brazier, Peter O'Brien, Madeleine Madden",Australia,"December 14, 2018",2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","Ex-con Cal McTeer's return to her hometown of Orphelin Bay blows the lid off a generations-long conspiracy of silence around murder, drugs and Sirens.",Netflix
s4311,TV Show,Travelers,,"Eric McCormack, MacKenzie Porter, Nesta Cooper, Jared Paul Abrahamson, Reilly Dolman, Patrick Gilmore","Canada, United States","December 14, 2018",2018,TV-MA,3 Seasons,"Crime TV Shows, International TV Shows, TV Dramas","A federal agent tracks four people who suddenly seem to possess entirely new personalities, leading to a startling discovery about humanity's future.",Netflix
s4312,TV Show,Voltron: Legendary Defender,,"Jeremy Shada, Tyler Labine, Bex Taylor-Klaus, Josh Keaton, Steven Yeun, Kimberly Brooks, Rhys Darby, A.J. LoCascio",United States,"December 14, 2018",2018,TV-Y7,8 Seasons,"Kids' TV","In an all-new series, five unlikely heroes and their flying robot lions unite to form the megapowerful Voltron and defend the universe from evil.",Netflix
s4313,TV Show,Back Street Girls -GOKUDOLS-,,"Daisuke Ono, Satoshi Hino, Kazuyuki Okitsu, Yuka Nukui, Kaori Maeda, Hikaru Akao, Junichi Suwabe, Keiji Fujiwara",Japan,"December 12, 2018",2018,TV-MA,1 Season,"Anime Series, International TV Shows","To pay for an epic blunder, three yakuza brothers are forced to alter their bodies, form a girl group and break into the underground J-Pop idol scene.",Netflix
s4317,TV Show,Dogs of Berlin,,"Felix Kramer, Fahri Yardim, Anna Maria Mühe, Katharina Schüttler, Alina Stiegler, Urs Rechn, Sinan Farhangmehr, Kais Setti, Mohamed Issa, Hauke Diekamp, David Bennent, Deniz Orta, Katrin Saß, Sebastian Zimmler",Germany,"December 7, 2018",2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","Two cops investigate the murder of a famous Turkish-German soccer player, but one of them has underworld connections that mire the case in controversy.",Netflix
s4321,TV Show,Neo Yokio,,"Jaden Smith, Jude Law, Tavi Gevinson, Susan Sarandon, Desus Nice, The Kid Mero, Richard Ayoade, Willow Smith, Kiernan Shipka, Jason Schwartzman, Amandla Stenberg, Ray Wise",United States,"December 7, 2018",2018,TV-MA,2 Seasons,"TV Comedies, TV Sci-Fi & Fantasy, Teen TV Shows","Joined by his faithful mecha-butler, Kaz Kaan pursues love, fashion and supernatural forces amid Neo Yokio's sinister high society.",Netflix
s4322,TV Show,Pine Gap,Mat King,"Parker Sawyers, Jacqueline McKenzie, Steve Toussaint, Tess Haubrich, Stephen Curry, Lewis Fitz-Gerald, Mark Leonard Winter",Australia,"December 7, 2018",2018,TV-MA,1 Season,"International TV Shows, TV Dramas","At top-secret U.S.-Australian joint defense facility Pine Gap, fissures appear in the critical alliance as spies work with, and against, each other.",Netflix
s4327,TV Show,The Sound of Your Heart: Reboot,,"Sung Hoon, Kwon Yuri, Tae Hang-ho, Joo Jin-mo, Shim Hye-jin, Ji Su-won, Park Cheol-min, Kim Seong-won, Kang Yoon, Seo Eun-ah, Bae Yoon-kyung",South Korea,"December 3, 2018",2018,TV-14,2 Seasons,"International TV Shows, Korean TV Shows, TV Comedies","Webtoonist Cho Seok is back with more anecdotes of mix-ups, unintended antics, and bathroom blunders in this reboot starring an all-new cast.",Netflix
s4328,TV Show,Memories of the Alhambra,,"Hyun Bin, Park Shin-hye, Park Hoon, Kim Yong-rim, Chanyeol, Lee Re, Lee Hak Joo, Lee Si-won, Kim Eui-sung",South Korea,"December 2, 2018",2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows","While looking for the cryptic creator of an innovative augmented-reality game, an investment firm executive meets a woman who runs a hostel in Spain.",Netflix
s4341,TV Show,Haunted House,,"Jo Hyun-jung, Gim Young-eun, Gim Chae-ha, I So Eun, Choe Jae-ho",,"December 1, 2018",2017,TV-G,1 Season,"Kids' TV, Korean TV Shows","With help from a 102-year-old goblin dwelling beneath their haunted apartment building, two siblings deal with ghosts and take on spooky mysteries.",Netflix
s4351,TV Show,1983,,"Robert Więckiewicz, Maciej Musiał, Michalina Olszańska, Andrzej Chyra, Clive Russell, Zofia Wichłacz, Edyta Olszówka, Mateusz Kościukiewicz, Ewa Błaszczyk, Vu Le Hong, Tomasz Włosok, Krzysztof Wach","Poland, United States","November 30, 2018",2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","In this dark alt-history thriller, a naïve law student and a world-weary detective uncover a conspiracy that has tyrannized Poland for decades.",Netflix
s4354,TV Show,Death by Magic,,Drummond Money-Coutts,United States,"November 30, 2018",2018,TV-PG,1 Season,Reality TV,"Magician Drummond Money-Coutts travels the globe, sharing his infectious love of his craft and attempting feats that proved fatal to other magicians.",Netflix
