,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,Platform
2943,s2944,TV Show,Bulge Bracket,,"Jessika Van, Feodor Chin, Lanny Joon, Anisha Adusumilli, Leonard Wu, Gigi Gustin, Rachel Alig, Kristen Vaganos, Jonathan P. Sims, Teddy Larsen, Chris King Wong, Chris Elsenbroek, Nick Bouier, Colin Molloy, Susan Chuang, Vishesh Chachra, Bruce Clifford, David Pinion, Jake Jacobson, Hilary Barraford, Philicia Saunders, Andre Franco, Jessica Davis, Douglas Kim, Laura Liefer, Chris Markle, Michael Cosentino",,,2020,16+,1 Season,"Comedy, Drama","In the high-intensity world of mergers, acquisitions, and IPOs, a young female investment banker (Jessika Van, CBS's ""Rush Hour"") confronts the patriarchy in the frat house of Wall Street. An ensemble dramedy about the costs of climbing the corporate ladder.",Prime Video
2944,s2945,TV Show,Building The Dream Nashville,,"Vern Yip, Carisha Swanson",,,2020,7+,1 Season,"Documentary, Special Interest","We all think about what we should be doing to our homes-but what if your home could do more for YOU? If it could inspire you, rejuvenate you, make you feel happier from the moment you walk through the door? That's the challenge we here at House Beautiful posted to our builder, Castle Homes, and 14 of the nation's hottest designers. Here's what happens when you build the dream.",Prime Video
2945,s2946,TV Show,Building Dream Homes,,Richard Wilson,,,2014,TV-PG,1 Season,"Documentary, Special Interest","This series follows some of the nation's architects leading the way in ground-breaking design, as they battle with builders, blueprints and the clients who hire them, all in the name of making dream properties become a reality and showing first-hand the drama, headaches and hard work it takes to design and build these innovative residential builds.",Prime Video
2946,s2947,TV Show,Building Cars,,"James May, Ant Anstead, Kate Humble",,,2015,TV-PG,1 Season,Special Interest,"Every 68 seconds a brand new car drives off the production line at the MINI Plant in Oxford. In this ambitious new series, James May goes behind the scenes to bring us this modern miracle in real time. He's joined by Ant Anstead and Kate Humble to reveal the science, engineering and people that keep us all on the road, and see how a car is built from start to finish in a little over 24 hours.",Prime Video
2947,s2948,TV Show,Bug Diaries,,"Abigail Harrison, Nilah Rivera, Logan Smith",United States,,2020,ALL,3 Seasons,Kids,"Three unlikely bug buddies, Fly, Spider and Worm, fly, spin, and jump into all kinds of adventures in the big world around them. Imagine hopping a ride on a furry dog or dodging raindrops bigger than your house! Using their unique insect abilities, our tiny heroes find ways to help themselves and others out of sticky situations and record their stories in their bug diaries!",Prime Video
2948,s2949,TV Show,Buffy The Vampire Slayer,,"Sarah Michelle Gellar, Nicholas Brendon, Alyson Hannigan",,,2003,TV-14,7 Seasons,"Action, Adventure, Drama","As Buffy accompanies Dawn on her first day at the new Sunnydale High, Giles continues Willow's magic education in England. But while Buffy is surprised to be offered a guidance counselor job, Willow is shocked to experience a horrific future vision of the Hellmouth.",Prime Video
2958,s2959,TV Show,"Britain's Best Drives",,Richard Wilson,,,2009,TV-PG,1 Season,"Documentary, Special Interest","Presented by Richard Wilson and timed to mark the 50th anniversary of the first motorway, this series sees the classic comedy actor steer six classic cars round the twists and turns of six of the best drives of 1958 as described in British motoring guide books of the period.",Prime Video
2959,s2960,TV Show,Britain by Narrowboat,,"Colin Dobson-Fox, Shaun Dobson-Fox",,,2020,13+,1 Season,"Documentary, Special Interest, Unscripted","In a last-ditch attempt to save his mental health, Colin and partner Shaun take drastic action! Selling their home, possessions, and quitting their jobs, they spend their life savings building a narrowboat to cruise the canals and rivers of Great Britain. Follow their adventure as they discover the secrets of the waterways, uncover forgotten history, and adapt to a totally different way of life.",Prime Video
2960,s2961,TV Show,Bring It,,,,,2018,TV-PG,2 Seasons,TV Shows,"""After getting disqualified from the Summer Slam Battle Round, Miss D decides she needs to focus on what really matters: growing her girls into amazing dancers. The Dolls will still have a battle every week but Miss D is pushing them to think bigger, prepping them for a once-in-a-lifetime opportunity:",Prime Video
2970,s2971,TV Show,Breathe: Into the Shadows,,"Abhishek A. Bachchan, Amit Sadh, Nithya Menen, Saiyami Kher, Hrishikesh Joshi, Shrikant Verma",,,2020,13+,1 Season,"Drama, Suspense","A 6-year old girl is kidnapped by a mysterious masked man, who demands an unusual ransom. To save his daughter, Dr. Avinash Sabharwal must kill someone! Meanwhile, Kabir Sawant's journey continues in the hostile environment of the Delhi Crime branch. Lies, deceit and mind games begin when Kabir is given charge of the investigation, and meets Avinash. How far will Avinash go to save his daughter?",Prime Video
2971,s2972,TV Show,Breathe,,"Amit Sadh, Neena Kulkarni, Sapna Pabbi, Hrishikesh Joshi, R. Madhavan, Shri Swara, Atharva Vishwakarm",,,2018,16+,1 Season,Drama,"Breathe is an Indian drama that explores the lives of ordinary men faced with extraordinary circumstances. Kabir (Sadh), a brilliant but non-conventional officer of the Crime Branch, puts the pieces together of seemingly unconnected deaths of organ donors that lead up to an unlikely suspect - the affable Danny (Madhavan). Kabir will not stop till he cracks the case and delivers justice.",Prime Video
